Shear_Rate_1_s,Viscosity_Pa_s
0.1,139.14507335274095
0.10353218432956621,138.87998785724727
0.10718913192051278,138.6089587310217
0.11097524964120718,138.33187877936052
0.11489510001873092,138.04864016058022
0.11895340673703195,137.7591344527954
0.12315506032928256,137.463252724803
0.12750512407130132,137.1608856111805
0.1320088400831418,136.85192339170243
0.13667163564620066,136.536256075176
0.1414991297434576,136.21377348779222
0.14649713983072857,135.88436536608313
0.15167168884709228,135.54792145457088
0.1570290124729377,135.2043316081872
0.16257556664437942,134.85348589953475
0.16831803533309567,134.4952747310542
0.174263338600965,134.12958895215124
0.18041864093920723,133.75631998132909
0.18679135990207826,133.37535993336073
0.1933891750455231,132.986601751524
0.20022003718155845,132.58993934491085
0.20729217795953708,132.1852677308078
0.2146141197858404,131.77248318213194
0.22219468609395238,131.3514833798902
0.2300430119772918,130.92216757061487
0.23816855519761582,130.48443672871065
0.24658110758226026,130.03819372363085
0.2552908068239517,129.58334349178136
0.26430814869741054,129.11979321303144
0.27364399970746706,128.64745249168936
0.2833096101839324,128.1662335417796
0.29331662783900436,127.67605137643605
0.30367711180354584,127.17682400120192
0.31440354715915,126.66847261100358
0.3255088599835058,126.1509217905408
0.33700643292719284,125.62409971781071
0.3489101213406773,125.08793837045636
0.3612342699709431,124.5423737346061
0.3739937302478797,123.98734601584107
0.3872038781812555,123.42279985190379
0.40088063288984643,122.84868452673197
0.41504047578504755,122.26495418537561
0.42970047043208404,121.6715680493287
0.4448782831127584,121.06849063177978
0.4605922041145106,120.45569195226035
0.47686116977144694,119.83314775014357
0.49370478528390027,119.20083969642236
0.5111433483440166,118.55875560317102
0.5291978735958442,117.9068896300727
0.5478901179593942,117.24524248737393
0.5672426068491978,116.57382163460672
0.5872786613189481,115.89264147440218
0.6080224261649423,115.20172354070279
0.6294988990221888,114.50109668066628
0.6517339604882424,113.79079722954393
0.6747544053110693,113.07086917780536
0.6985879746785247,112.34136432977743
0.7232633896483536,111.60234245306015
0.7488103857590023,110.85387141798337
0.775259748862946,110.09602732637086
0.8026433522257174,109.32889462888456
0.8309941949353393,108.55256623023283
0.8603464416684502,107.76714358153976
0.890735463861044,106.97273675919047
